transaction_id,timestamp,store_id,city,country,store_type,product_category,product_name,unit_price,quantity,discount_applied,payment_method,customer_id,customer_age_group,customer_gender,loyalty_member,weather_condition,temperature_c,holiday_name,total_amount
10001,1/1/2023 0:39,35,Melbourne,AUS,Mall Kiosk,Coffee,Double Espresso,3.04,1,TRUE,Credit Card,qiyfrwsk,35-44,Female,FALSE,Sunny,22.2,New Year's Day,2.74
10002,1/1/2023 1:06,25,Manchester,UK,Standalone,Coffee,Single Espresso,2.38,2,FALSE,Debit Card,vf0jqqnv,18-24,Male,FALSE,Sunny,8.7,New Year's Day,4.76
10003,1/1/2023 2:56,23,Manchester,UK,Standalone,Tea,Large Matcha Latte,4.26,2,FALSE,Mobile Wallet,fcd6mzsg,25-34,Male,FALSE,Sunny,8.7,New Year's Day,8.52
10004,1/1/2023 2:58,38,Toronto,CAN,Standalone,Coffee,Medium Cappuccino,3.68,2,FALSE,Credit Card,jvu2cgxu,55-64,Female,TRUE,Cloudy,-6.5,New Year's Day,7.36
10005,1/1/2023 3:13,9,Los Angeles,USA,Mall Kiosk,Coffee,Small Cappuccino,3.42,1,FALSE,Mobile Wallet,po4ljedg,18-24,Male,TRUE,Sunny,12.3,New Year's Day,3.42
10006,1/1/2023 3:23,42,Vancouver,CAN,Standalone,Tea,Large Green Tea,3.01,1,FALSE,Cash,2eclces1,25-34,Female,FALSE,Sunny,2.8,New Year's Day,3.01
10007,1/1/2023 3:42,12,Chicago,USA,Airport,Tea,Medium Earl Grey,3.32,1,FALSE,Cash,4es3aofc,65+,Male,TRUE,Sunny,-4.7,New Year's Day,3.32
10008,1/1/2023 4:04,21,Manchester,UK,Standalone,Coffee,Large Cappuccino,3.77,2,FALSE,Credit Card,c8nog85d,55-64,,FALSE,Sunny,8.7,New Year's Day,7.54
10009,1/1/2023 4:26,27,Sydney,AUS,Standalone,Tea,Large Matcha Latte,5.72,1,FALSE,Credit Card,pceo934t,,Female,FALSE,Cloudy,16.6,New Year's Day,5.72
10010,1/1/2023 5:41,7,Los Angeles,USA,Standalone,Coffee,Large Cappuccino,4.51,2,FALSE,Cash,idbx287g,35-44,Female,FALSE,Sunny,12.3,New Year's Day,9.02
10011,1/1/2023 6:02,40,Toronto,CAN,Standalone,Sandwich,Ham & Cheese Croissant,5.06,1,FALSE,Credit Card,yj38xrg2,25-34,Female,FALSE,Cloudy,-6.5,New Year's Day,5.06
10012,1/1/2023 6:16,1,New York,USA,Standalone,Coffee,Small Mocha,4.05,1,TRUE,Credit Card,g4gks6r6,18-24,Male,FALSE,Sunny,-1.1,New Year's Day,3.64
10013,1/1/2023 6:28,20,London,UK,Standalone,Sandwich,Ham & Cheese Croissant,4.67,2,FALSE,Credit Card,gnzs43c5,18-24,Male,FALSE,,,New Year's Day,9.34
10014,1/1/2023 6:31,28,Sydney,AUS,Mall Kiosk,Coffee,Large Mocha,5.55,2,FALSE,Cash,k2vmwwyz,45-54,Female,FALSE,Cloudy,16.6,New Year's Day,11.1
10015,1/1/2023 6:47,5,New York,USA,Standalone,Smoothie,Medium Berry Blast,5.5,1,FALSE,Cash,xlpu0dk0,25-34,Male,FALSE,Sunny,-1.1,New Year's Day,5.5
10016,1/1/2023 6:49,6,Los Angeles,USA,Standalone,Coffee,Medium Latte,3.92,1,FALSE,Credit Card,5zjaucyh,25-34,Male,TRUE,Sunny,12.3,New Year's Day,3.92
10017,1/1/2023 6:55,30,Sydney,AUS,Standalone,Coffee,Medium Latte,4.4,1,FALSE,Mobile Wallet,g3fye4hq,25-34,Male,FALSE,Cloudy,16.6,New Year's Day,4.4
10018,1/1/2023 6:57,43,Vancouver,CAN,Standalone,Pastry,Blueberry Muffin,2.82,1,FALSE,Debit Card,p35t54gy,25-34,Male,FALSE,Sunny,2.8,New Year's Day,2.82
10019,1/1/2023 7:05,27,Sydney,AUS,Standalone,Coffee,Double Espresso,3.19,1,FALSE,Credit Card,4ldimsyj,65+,Male,FALSE,Cloudy,16.6,New Year's Day,3.19
10020,1/1/2023 7:08,1,New York,USA,Standalone,Tea,Small Earl Grey,2.5,1,FALSE,Cash,0cv3tlcx,25-34,,FALSE,Sunny,-1.1,New Year's Day,2.5
10021,1/1/2023 7:17,4,New York,USA,Mall Kiosk,Sandwich,Ham & Cheese Croissant,5.33,1,FALSE,Cash,96mj9n6e,35-44,Female,FALSE,Sunny,-1.1,New Year's Day,5.33
10022,1/1/2023 7:23,18,London,UK,Mall Kiosk,Tea,Small Green Tea,2.06,1,FALSE,Credit Card,wgi8y042,55-64,Male,FALSE,Sunny,5.2,New Year's Day,2.06
10023,1/1/2023 7:26,18,London,UK,Mall Kiosk,Sandwich,Vegan Falafel Wrap,4.95,2,FALSE,Mobile Wallet,e9vifttd,65+,Female,FALSE,Sunny,5.2,New Year's Day,9.9
10024,1/1/2023 7:47,17,London,UK,Standalone,Merchandise,Tote Bag,12.75,2,FALSE,Credit Card,x7n89lta,25-34,Female,FALSE,Sunny,5.2,New Year's Day,25.5
10025,1/1/2023 7:48,43,Vancouver,CAN,Standalone,Coffee,Large Mocha,4.89,4,TRUE,Debit Card,c2rh2xk2,35-44,Female,TRUE,Sunny,2.8,New Year's Day,17.6
10026,1/1/2023 7:53,11,Chicago,USA,Standalone,Coffee,Large Cappuccino,4.37,4,FALSE,Cash,jd2v1l1v,25-34,Female,FALSE,Sunny,-4.7,New Year's Day,17.48
10027,1/1/2023 7:56,9,Los Angeles,USA,Mall Kiosk,Coffee,Medium Latte,3.8,3,FALSE,Credit Card,0m3loufh,45-54,Female,FALSE,Sunny,12.3,New Year's Day,11.4
10028,1/1/2023 8:00,19,London,UK,Standalone,Coffee,Medium Cappuccino,3.4,2,FALSE,Credit Card,wc0bogwh,35-44,Male,FALSE,Sunny,5.2,New Year's Day,6.8
10029,1/1/2023 8:01,24,Manchester,UK,Standalone,Coffee,Small Mocha,3.32,4,TRUE,Mobile Wallet,qpgb7r3o,18-24,Female,TRUE,,,New Year's Day,11.95
10030,1/1/2023 8:08,34,Melbourne,AUS,Mall Kiosk,Coffee,Large Mocha,5.45,1,FALSE,Cash,2xcb3yym,,Female,FALSE,Sunny,22.2,New Year's Day,5.45
10031,1/1/2023 8:08,15,Chicago,USA,Standalone,Coffee,Medium Mocha,4.27,1,FALSE,Cash,f8s2zge2,25-34,Female,FALSE,Sunny,-4.7,New Year's Day,4.27
10032,1/1/2023 8:17,4,New York,USA,Mall Kiosk,Coffee,Large Cappuccino,4.46,1,TRUE,Cash,tsujt70y,55-64,Female,TRUE,Sunny,-1.1,New Year's Day,4.01
10033,1/1/2023 8:21,31,Melbourne,AUS,Standalone,Tea,Medium Green Tea,3.02,1,TRUE,Debit Card,j4xybrxf,45-54,Female,TRUE,Sunny,22.2,New Year's Day,2.72
10034,1/1/2023 8:29,7,Los Angeles,USA,Standalone,Pastry,Croissant,2.45,1,FALSE,Cash,5vlwojtx,,Male,FALSE,Sunny,12.3,New Year's Day,2.45
10035,1/1/2023 8:34,17,London,UK,Standalone,Sandwich,Vegan Falafel Wrap,5.1,1,FALSE,Cash,vbjrbzjw,65+,Female,FALSE,Sunny,5.2,New Year's Day,5.1
10036,1/1/2023 8:37,26,Sydney,AUS,Mall Kiosk,Coffee,Single Espresso,3.09,1,FALSE,Credit Card,dx5o31yh,45-54,Female,FALSE,Cloudy,16.6,New Year's Day,3.09
10037,1/1/2023 8:50,5,New York,USA,Standalone,Sandwich,Ham & Cheese Croissant,5.5,2,FALSE,Credit Card,nkbtfshb,45-54,Male,FALSE,Sunny,-1.1,New Year's Day,11
